iri,label,typeLabel,country
http://www.wikidata.org/entity/Q5942152,Dashtab Castles,castle,Iran
http://www.wikidata.org/entity/Q16294785,Stadtburg Hollfeld,castle,Germany
http://www.wikidata.org/entity/Q29046742,Aston Botterell Ringwork,castle,United Kingdom
http://www.wikidata.org/entity/Q18530040,Struga Castle,castle,Slovenia
http://www.wikidata.org/entity/Q42764938,Château Fort,castle,Tunisia
http://www.wikidata.org/entity/Q5315652,Dunraven Castle,castle | fortified manor house | house,United Kingdom
http://www.wikidata.org/entity/Q6060317,Inverquharity Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1487463,Haus Hardenberg,castle,Germany
http://www.wikidata.org/entity/Q2968409,Château de Balanzac,castle,France
http://www.wikidata.org/entity/Q15790379,Burg Zierberg,castle,Austria
http://www.wikidata.org/entity/Q65123795,Château de Garlande,destroyed building or structure | castle,France
http://www.wikidata.org/entity/Q41305760,Burgruine,castle,Germany
http://www.wikidata.org/entity/Q38090287,Ehem. Burg König Ottokars,castle,Austria
http://www.wikidata.org/entity/Q1406685,Heisterschlösschen,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q2968911,Château de Chazotte,castle,France
http://www.wikidata.org/entity/Q2969313,Château de Gergy,castle | château,France
http://www.wikidata.org/entity/Q20192035,Mallow Castle,castle,Ireland
http://www.wikidata.org/entity/Q2340545,Lochranza Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q29367477,Castillo del Cid,castle,Spain
http://www.wikidata.org/entity/Q1012597,Burg Kalden,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q1722756,Kalvarienberg Schwabegg,castle,Germany
http://www.wikidata.org/entity/Q1010865,Burg Auernheim,castle,Germany
http://www.wikidata.org/entity/Q83719725,Château fort du Grand Altier,castle,France
http://www.wikidata.org/entity/Q16048575,Yazdegerd Castle (Ramhormoz County),castle | cultural property,Iran
http://www.wikidata.org/entity/Q56598571,Castle of Perales de Tajuña,castle,Spain
http://www.wikidata.org/entity/Q1015862,Burgstall Oberlichtenwald,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q1265826,Dunguaire Castle,castle,Ireland
http://www.wikidata.org/entity/Q24661768,Cannock Castle Ring,castle,United Kingdom
http://www.wikidata.org/entity/Q3662946,Castello di Venetico,castle,Italy
http://www.wikidata.org/entity/Q112657591,castillo de Alija del Infantado,castle,Spain
http://www.wikidata.org/entity/Q21874650,Mannsberg castle,castle,Austria
http://www.wikidata.org/entity/Q131763095,Valkhofburcht,destroyed building or structure | castle,Netherlands
http://www.wikidata.org/entity/Q14553724,Castle of Maur,museum | castle,Switzerland
http://www.wikidata.org/entity/Q2044804,Château de Prény,castle,France
http://www.wikidata.org/entity/Q1015919,Burgstall Schäfferloch,castle,Germany
http://www.wikidata.org/entity/Q17646174,Bellister Castle (uninhabited parts),castle,United Kingdom
http://www.wikidata.org/entity/Q2970666,Château de Segonzac,castle | château,France
